CRCode,CRName,Latitude,Longitude
ESP,Spain,43.31283188,-1.97499001
RUS,Russian Federation,43.32110977,45.05221939
SRB,Serbia,43.32471848,21.90332985
CAN,Canada,43.33116913,-79.80607605
RUS,Russian Federation,43.33721924,45.74222183
ESP,Spain,43.33903885,-1.789379954
BIH,Bosnia and Herzegovina,43.34333038,17.80805969
BIH,Bosnia and Herzegovina,43.35499954,17.35388947
KAZ,Kazakhstan,43.35520172,77.45245361
RUS,Russian Federation,43.35694122,46.10528183
ESP,Spain,43.36029053,-5.844759941
ESP,Spain,43.37134934,-8.395999908
KAZ,Kazakhstan,43.37361145,76.94000244
BIH,Bosnia and Herzegovina,43.3833313,17.59277916
RUS,Russian Federation,43.3833313,131.9916687
ESP,Spain,43.38508987,-4.399340153
KAZ,Kazakhstan,43.40055847,77.59333038
RUS,Russian Federation,43.40333176,45.5261116
ITA,Italy,43.40385819,13.55978012
BGR,Bulgaria,43.41667175,24.61667061
CAN,Canada,43.41678619,-80.36142731
USA,United States,43.41947174,-83.95081329
CAN,Canada,43.42536926,-80.51119995
RUS,Russian Federation,43.42895889,39.92390823
RUS,Russian Federation,43.44564819,41.74480057
RUS,Russian Federation,43.46004868,39.92377091
ITA,Italy,43.46139145,11.87691021
RUS,Russian Federation,43.4630394,39.9670105
ESP,Spain,43.46472168,-3.804440022
USA,United States,43.46657944,-112.0341415
CAN,Canada,43.48228836,-80.53792572
FRA,France,43.48332977,-1.483330011
RUS,Russian Federation,43.49805832,43.61888886
USA,United States,43.50091934,-70.44283295
ITA,Italy,43.50835037,11.71813965
HRV,Croatia,43.50891113,16.43914986
USA,United States,43.52785111,-71.47035217
BIH,Bosnia and Herzegovina,43.5288887,17.28194046
BGR,Bulgaria,43.53332901,26.51667023
USA,United States,43.53583145,-109.6358337
USA,United States,43.54072189,-116.5634613
ITA,Italy,43.54264069,10.31599999
USA,United States,43.5639534,-96.79985046
SRB,Serbia,43.56483841,22.25023079
FRA,France,43.56666946,1.666669965
BGR,Bulgaria,43.56666946,27.83333015
MNG,Mongolia,43.5708313,104.4250031
FRA,France,43.57202148,2.012269974
USA,United States,43.57364655,-116.2904129
CAN,Canada,43.57889938,-79.65830231
SRB,Serbia,43.58000183,21.33389092
KAZ,Kazakhstan,43.59638977,51.25500107
USA,United States,43.59780884,-84.76750946
RUS,Russian Federation,43.59917069,39.72568893
CAN,Canada,43.60280228,-79.53994751
FRA,France,43.60425949,1.443670034
USA,United States,43.61061859,-72.97261047
FRA,France,43.61091995,3.877229929
USA,United States,43.61211014,-116.39151
CHN,China,43.61249924,122.2652817
CAN,Canada,43.6128273,-79.52321625
USA,United States,43.61349869,-116.2034531
CAN,Canada,43.62160873,-79.50973511
BGR,Bulgaria,43.62332916,22.83082962
USA,United States,43.63054657,-116.29702
FRA,France,43.63275909,1.39399004
CAN,Canada,43.64138413,-79.41162109
CHN,China,43.64749908,111.9766693
BGR,Bulgaria,43.65000153,25.11667061
CAN,Canada,43.65018463,-79.61136627
CAN,Canada,43.65755463,-79.37458801
